accession	length	genome_region	host	country	isolation	collection_date	release_date	name
KT368862	30120	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/01	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd85/2015, complete genome
KT368863	30120	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/01	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd86/2015, complete genome
KT368864	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/01	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd87/2015, complete genome
KT368865	30109	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/01	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd90/2015, complete genome
KT368846	30115	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/11	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/N51/2014, complete genome
KT368847	30110	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/11	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/N62(b)/2014, complete genome
KT368848	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/11	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/N68(b)/2014, complete genome
KT368849	30117	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/10	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O23(b)/2014, complete genome
KT368850	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/10	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O24/2014, complete genome
KT368851	30119	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/10	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O30/2014, complete genome
KT368852	30117	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/10	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/O47(b)/2014, complete genome
KT368853	30108	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/09	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S100/2014, complete genome
KT368854	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/09	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S73/2014, complete genome
KT368855	30115	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/09	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S93/2014, complete genome
KT368856	30117	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/09	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S94/2014, complete genome
KT368857	30119	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/09	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Jeddah/S99/2014, complete genome
KT368868	30122	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry136/2015, complete genome
KT368869	30111	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry137/2015, complete genome
KT368870	30110	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry159(b)/2015, complete genome
KT368871	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry162/2015, complete genome
KT368872	30122	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry173/2015, complete genome
KT368873	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry177/2015, complete genome
KT368874	30122	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry178/2015, complete genome
KT368875	30113	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry179/2015, complete genome
KT368825	30119	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/07	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry23N/2014, complete genome
KT368876	30121	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry63/2015, complete genome
KT368877	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry64/2015, complete genome
KT368878	30117	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry79/2015, complete genome
KT368826	30122	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2014/07	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry84N/2014, complete genome
KT368879	30107	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Riyadh/Ry86/2015, complete genome
KT368889	30110	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T150/2015, complete genome
KT368890	30120	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/03	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T157(b)/2015, complete genome
KT368882	30120	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T16/2015, complete genome
KT368883	30122	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T22/2015, complete genome
KT368880	30122	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T3/2015, complete genome
KT368884	30114	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T68/2015, complete genome
KT368881	30113	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T7/2015, complete genome
KT368885	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T89/2015, complete genome
KT368886	30118	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T91(b)/2015, complete genome
KT368887	30116	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T92/2015, complete genome
KT368888	30116	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N-orf8b	Camelus	Saudi Arabia		2015/04	2015/12/17	Middle East respiratory syndrome coronavirus isolate camel/Taif/T98/2015, complete genome
KT624236	3460	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Dammam 1/2014 ORF1ab genes, partial cds
KT624244	312	orf3	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Dammam 1/2014 ORF3 gene, complete cds
KT624248	741	orf4b	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Dammam 1/2014 ORF4b gene, complete cds
KT624240	2671	S	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Dammam 1/2014 spike glycoprotein gene, partial cds
KT624237	3460	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Dammam 2/2014 ORF1ab genes, partial cds
KT624245	312	orf3	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Dammam 2/2014 ORF3 gene, complete cds
KT624249	741	orf4b	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Dammam 2/2014 ORF4b gene, complete cds
KT624241	2671	S	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Dammam 2/2014 spike glycoprotein gene, partial cds
KR011266	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/01/06	2015/05/27	Middle East respiratory syndrome coronavirus strain Hu/Riyadh-KSA-2049/2015, complete genome
KR011264	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/01/21	2015/05/27	Middle East respiratory syndrome coronavirus strain Hu/Riyadh-KSA-2343/2015, complete genome
KR011263	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/01/21	2015/05/27	Middle East respiratory syndrome coronavirus strain Hu/Riyadh-KSA-2345/2015, complete genome
KR011265	30096	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia	lung,oronasopharynx	2015/01/26	2015/05/27	Middle East respiratory syndrome coronavirus strain Hu/Riyadh-KSA-2466/2015, complete genome
KT026453	30114	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia	lung	2015/02/10	2015/06/08	Middle East respiratory syndrome coronavirus strain Hu/Riyadh_KSA_2959_2015, complete genome
KT026454	30123	orf1a-orf1ab-S-orf3-orf4a-orf4b-orf5-E-M-N	Homo sapiens	Saudi Arabia	oronasopharynx	2015/03/01	2015/06/08	Middle East respiratory syndrome coronavirus strain Hu/Riyadh_KSA_4050_2015, complete genome
KJ396757	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_349 spike protein gene, partial cds
KJ396762	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_356 spike protein gene, partial cds
KJ396771	2009	orf1ab-S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_363 ORF1ab and S protein genes, partial cds
KJ396756	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_363 spike protein gene, partial cds
KJ396769	2009	orf1ab-S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_364 ORF1ab and S protein genes, partial cds
KJ396763	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_364 spike protein gene, partial cds
KJ396758	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_370 spike protein gene, partial cds
KJ396761	1044	S	Camelus dromedarius	Saudi Arabia	stool	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_371 spike protein gene, partial cds
KJ396770	2009	orf1ab-S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_376 ORF1ab and S protein genes, partial cds
KJ396759	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_376 spike protein gene, partial cds
KJ396766	2009	orf1ab-S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_378 ORF1ab and S protein genes, partial cds
KJ396760	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_378 spike protein gene, partial cds
KJ396768	2009	orf1ab-S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_459 ORF1ab and S protein genes, partial cds
KJ396764	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_459 spike protein gene, partial cds
KJ396767	2009	orf1ab-S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_464 ORF1ab and S protein genes, partial cds
KJ396765	1044	S	Camelus dromedarius	Saudi Arabia	oronasopharynx	2013/11	2014/03/12	Middle East respiratory syndrome coronavirus strain KSA_464 spike protein gene, partial cds
KT624238	3460	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Madinah 4/2014 ORF1ab genes, partial cds
KT624246	312	orf3	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Madinah 4/2014 ORF3 gene, complete cds
KT624250	741	orf4b	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Madinah 4/2014 ORF4b gene, complete cds
KT624242	2671	S	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Madinah 4/2014 spike glycoprotein gene, partial cds
KT624239	3460	orf1a-orf1ab	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Riyadh 11/2014 ORF1ab genes, partial cds
KT624247	312	orf3	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Riyadh 11/2014 ORF3 gene, complete cds
KT624251	741	orf4b	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Riyadh 11/2014 ORF4b gene, complete cds
KT624243	2671	S	Homo sapiens	Saudi Arabia		2008/12/15	2016/02/07	Middle East respiratory syndrome coronavirus strain Riyadh 11/2014 spike glycoprotein gene, partial cds
KY689142	29837		Homo sapiens	Saudi Arabia		2016/01	2017/04/02	UNVERIFIED: Middle East respiratory syndrome-related coronavirus strain MERS-Cov/Riyadh-KSA/NGHA_ KAMC_2016 genomic sequence
